,earliest division time (frame),earliest division {hours},centroid_x,centroid_y,v,rep,condition,labels,id,growth_rate
26,27.0,6.75,174.76347063380834,520.0847160159393,4,1,hypoxia 3.5 days,2,2_4_1,0.20014622699397497
71,29.0,7.25,594.0228573480472,407.1991046256529,4,1,hypoxia 3.5 days,4,4_4_1,0.23300943788929068
76,30.0,7.5,208.5772208993905,501.6408522347126,4,1,hypoxia 3.5 days,2,2_4_1,0.20014622699397497
82,30.0,7.5,289.7302215367878,553.2836708221472,4,1,hypoxia 3.5 days,1,1_4_1,0.20064830709715137
113,32.0,8.0,869.2322396740162,637.6164939716749,4,1,hypoxia 3.5 days,3,3_4_1,0.2618299369942253
127,32.0,8.0,866.9351585972656,660.2591502996441,4,1,hypoxia 3.5 days,3,3_4_1,0.2618299369942253
135,33.0,8.25,872.513784069374,673.0571734415398,4,1,hypoxia 3.5 days,3,3_4_1,0.2618299369942253
241,38.0,9.5,849.5429733018691,637.2883395321392,4,1,hypoxia 3.5 days,3,3_4_1,0.2618299369942253
300,44.0,11.0,894.5001315182717,664.8533124531451,4,1,hypoxia 3.5 days,3,3_4_1,0.2618299369942253
353,73.0,18.25,917.7990967253124,675.0261000787544,4,1,hypoxia 3.5 days,3,3_4_1,0.2618299369942253
361,87.0,21.75,614.968601614894,456.571216111792,4,1,hypoxia 3.5 days,4,4_4_1,0.23300943788929068
6,23.0,5.75,417.4240058174139,824.5917831960907,5,1,hypoxia 3.5 days,3,3_5_1,0.25408254593055307
25,26.0,6.5,244.66648173325743,860.8647152991696,5,1,hypoxia 3.5 days,1,1_5_1,0.41029301480281044
32,27.0,6.75,625.8396759263094,405.3012611408027,5,1,hypoxia 3.5 days,5,5_5_1,0.2950796181469303
33,27.0,6.75,270.4878910269748,879.9233745397706,5,1,hypoxia 3.5 days,1,1_5_1,0.41029301480281044
34,27.0,6.75,279.7098229175881,871.9310335679057,5,1,hypoxia 3.5 days,1,1_5_1,0.41029301480281044
35,27.0,6.75,231.2260029532705,130.04849627309824,5,1,hypoxia 3.5 days,8,8_5_1,0.2562433167148827
46,28.0,7.0,616.0029485763218,406.5308520595511,5,1,hypoxia 3.5 days,5,5_5_1,0.2950796181469303
51,28.0,7.0,398.9801420361872,835.6581014648266,5,1,hypoxia 3.5 days,3,3_5_1,0.25408254593055307
85,30.0,7.5,795.0487465706278,575.0776765220091,5,1,hypoxia 3.5 days,7,7_5_1,0.25796344816424555
101,31.0,7.75,237.7092095120564,103.11825364429512,5,1,hypoxia 3.5 days,8,8_5_1,0.2562433167148827
103,31.0,7.75,229.2311701659517,117.58079135235609,5,1,hypoxia 3.5 days,8,8_5_1,0.2562433167148827
109,31.0,7.75,310.4495958862992,602.0358269026221,5,1,hypoxia 3.5 days,2,2_5_1,0.29752138803105777
139,33.0,8.25,785.0716999042329,238.07689619101427,5,1,hypoxia 3.5 days,6,6_5_1,0.2790469674068917
144,33.0,8.25,791.2196544979752,258.3651463503636,5,1,hypoxia 3.5 days,6,6_5_1,0.2790469674068917
146,33.0,8.25,294.46491394256947,618.020508846352,5,1,hypoxia 3.5 days,2,2_5_1,0.29752138803105777
154,33.0,8.25,593.2555165794756,427.43389767827466,5,1,hypoxia 3.5 days,5,5_5_1,0.2950796181469303
161,33.0,8.25,603.7070393888374,424.3599203814035,5,1,hypoxia 3.5 days,5,5_5_1,0.2950796181469303
179,34.0,8.5,253.88841362387083,832.5841241679555,5,1,hypoxia 3.5 days,1,1_5_1,0.41029301480281044
182,35.0,8.75,386.0694373893285,799.9999648211217,5,1,hypoxia 3.5 days,3,3_5_1,0.25408254593055307
183,35.0,8.75,777.0793589323681,213.4850778160454,5,1,hypoxia 3.5 days,6,6_5_1,0.2790469674068917
302,44.0,11.0,795.5232227135948,225.78098700352984,5,1,hypoxia 3.5 days,6,6_5_1,0.2790469674068917
8,24.0,6.0,775.1598914926251,657.217499305217,6,1,hypoxia 3.5 days,3,3_6_1,0.3071801720268661
10,24.0,6.0,484.2198014181833,483.1792837789972,6,1,hypoxia 3.5 days,2,2_6_1,0.2751721189356626
12,24.0,6.0,472.2508046942708,472.207703448744,6,1,hypoxia 3.5 days,2,2_6_1,0.2751721189356626
30,27.0,6.75,461.05577629759085,1058.752045802204,6,1,hypoxia 3.5 days,1,1_6_1,0.30375530347005636
37,27.0,6.75,395.8193281630457,312.90891784638006,6,1,hypoxia 3.5 days,5,5_6_1,0.2773495983188125
39,27.0,6.75,470.3602162796126,1058.3475049334206,6,1,hypoxia 3.5 days,1,1_6_1,0.30375530347005636
57,29.0,7.25,378.4271428676491,296.17304143005504,6,1,hypoxia 3.5 days,5,5_6_1,0.2773495983188125
59,29.0,7.25,993.4798558047094,547.2919761155937,6,1,hypoxia 3.5 days,4,4_6_1,0.2603080336966477
83,30.0,7.5,989.791083048464,559.5878853030781,6,1,hypoxia 3.5 days,4,4_6_1,0.2603080336966477
88,31.0,7.75,457.4149084785389,1027.6023989058706,6,1,hypoxia 3.5 days,1,1_6_1,0.30375530347005636
131,32.0,8.0,379.4116061862565,304.3769024184497,6,1,hypoxia 3.5 days,5,5_6_1,0.2773495983188125
155,33.0,8.25,382.03684170254274,347.03697955810173,6,1,hypoxia 3.5 days,5,5_6_1,0.2773495983188125
331,51.0,12.75,385.6465405374364,326.6914043068831,6,1,hypoxia 3.5 days,5,5_6_1,0.2773495983188125
335,52.0,13.0,392.8659382072236,300.43904914402026,6,1,hypoxia 3.5 days,5,5_6_1,0.2773495983188125
54,29.0,7.25,283.443828846718,488.98835254818897,7,1,hypoxia 3.5 days,1,1_7_1,0.27410604817827117
55,29.0,7.25,816.2886911423509,318.1371017398517,7,1,hypoxia 3.5 days,4,4_7_1,0.25025962916182154
63,29.0,7.25,812.4659095837325,307.94301758353583,7,1,hypoxia 3.5 days,4,4_7_1,0.25025962916182154
74,30.0,7.5,809.9173885446535,319.41136225939124,7,1,hypoxia 3.5 days,4,4_7_1,0.25025962916182154
94,31.0,7.75,278.2755713782093,474.0004058895136,7,1,hypoxia 3.5 days,1,1_7_1,0.27410604817827117
176,34.0,8.5,290.1625635557794,493.6397842698468,7,1,hypoxia 3.5 days,1,1_7_1,0.27410604817827117
