,level_0,index,axis-0,axis-1,axis-2,name,condition,time
60,9,9.0,25.0,856.8743941288126,890.3509736448348,3,hypoxia 3.5 days,6.25
61,10,10.0,26.0,984.1473562238951,918.9359450512426,4,hypoxia 3.5 days,6.5
62,18,18.0,26.0,348.8744942806774,884.8367238354055,6,hypoxia 3.5 days,6.5
63,13,13.0,26.0,435.5279956082615,282.4891625626892,5,hypoxia 3.5 days,6.5
64,1,1.0,26.0,367.4750028461096,592.6360536781376,8,hypoxia 3.5 days,6.5
65,7,7.0,26.0,778.501745791502,1195.8269595134825,6,hypoxia 3.5 days,6.5
66,3,3.0,26.0,339.6599687791048,921.694825841696,7,hypoxia 3.5 days,6.5
67,17,17.0,26.0,361.5444668453399,897.5066964000679,6,hypoxia 3.5 days,6.5
68,7,7.0,26.0,149.19993832030093,700.8087281243785,9,hypoxia 3.5 days,6.5
69,0,0.0,26.0,474.5828689631752,377.7670157997515,4,hypoxia 3.5 days,6.5
70,15,15.0,26.0,332.74907465292534,887.1403552107987,6,hypoxia 3.5 days,6.5
71,14,14.0,26.0,845.6594650131142,829.132207187417,1,hypoxia 3.5 days,6.5
72,23,23.0,26.0,402.2810670462941,256.7949089800792,1,hypoxia 3.5 days,6.5
73,10,10.0,26.0,752.0146486787851,189.3210167762861,2,hypoxia 3.5 days,6.5
74,2,2.0,26.0,574.3622363764972,662.5636998850343,1,hypoxia 3.5 days,6.5
75,15,15.0,26.0,1005.1462616185556,303.25985741572936,2,hypoxia 3.5 days,6.5
76,25,25.0,26.0,393.7857088018395,282.6855245822265,1,hypoxia 3.5 days,6.5
77,10,10.0,26.0,866.7271585421705,929.0041263433924,3,hypoxia 3.5 days,6.5
78,0,0.0,27.0,590.7557886969594,209.8727308452091,5,hypoxia 3.5 days,6.75
79,12,12.0,27.0,424.0577070811787,306.42715601051424,5,hypoxia 3.5 days,6.75
80,8,8.0,27.0,780.8053771668953,1178.5497241980338,6,hypoxia 3.5 days,6.75
81,15,15.0,27.0,841.6697994384767,826.6386662032685,1,hypoxia 3.5 days,6.75
82,12,12.0,27.0,921.4631109312264,1016.1477809985496,1,hypoxia 3.5 days,6.75
83,4,4.0,27.0,659.6413380343737,521.9279883790625,1,hypoxia 3.5 days,6.75
84,6,6.0,27.0,641.1322156700483,716.694124069498,5,hypoxia 3.5 days,6.75
85,13,13.0,27.0,324.21534305442384,20.803627014543046,0,hypoxia 3.5 days,6.75
86,7,7.0,27.0,831.6160632060453,1031.0913075643675,4,hypoxia 3.5 days,6.75
87,8,8.0,27.0,824.1390390385036,1038.568331731909,4,hypoxia 3.5 days,6.75
88,8,8.0,27.0,155.76125665682628,687.6860914513279,9,hypoxia 3.5 days,6.75
89,2,2.0,27.0,712.7568493401917,696.5629810074827,9,hypoxia 3.5 days,6.75
90,1,1.0,27.0,722.2627731140202,695.0620456747729,9,hypoxia 3.5 days,6.75
91,3,3.0,28.0,302.73874556204584,830.8411924124072,3,hypoxia 3.5 days,7.0
92,10,10.0,28.0,117.35954105366471,697.0907667408628,6,hypoxia 3.5 days,7.0
93,4,4.0,28.0,744.8201745066814,704.751813869052,3,hypoxia 3.5 days,7.0
94,9,9.0,28.0,121.96680380445102,683.2689784885039,6,hypoxia 3.5 days,7.0
95,0,0.0,28.0,769.2872202899295,539.2920175264312,7,hypoxia 3.5 days,7.0
96,11,11.0,28.0,444.5047566426898,284.7581780345866,5,hypoxia 3.5 days,7.0
97,24,24.0,28.0,402.6856079150776,261.2448585366983,1,hypoxia 3.5 days,7.0
98,2,2.0,28.0,932.8450479428438,584.2128293465979,5,hypoxia 3.5 days,7.0
99,28,28.0,28.0,231.84391620028063,234.52841201141743,4,hypoxia 3.5 days,7.0
100,29,29.0,28.0,205.9027317481441,212.57817901345575,4,hypoxia 3.5 days,7.0
101,1,1.0,28.0,572.326737693814,201.81002103133304,5,hypoxia 3.5 days,7.0
102,9,9.0,28.0,581.1817970648598,826.1715315011922,0,hypoxia 3.5 days,7.0
103,10,10.0,28.0,591.6780842786342,838.1672883169343,0,hypoxia 3.5 days,7.0
104,1,1.0,29.0,464.2232854529597,383.91801850894194,4,hypoxia 3.5 days,7.25
105,11,11.0,29.0,852.3269412701468,918.3934569751611,3,hypoxia 3.5 days,7.25
106,2,2.0,29.0,775.0462987284124,352.6978761195851,6,hypoxia 3.5 days,7.25
107,10,10.0,29.0,426.45626246822167,280.8203247601572,5,hypoxia 3.5 days,7.25
